contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,spot,dividendYield
SPY250411C00581000,2025-04-04 20:11:43+00:00,581.0,0.05,0.02,0.06,-0.02,-28.571426,690.0,1910,0.43555251953125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00582000,2025-04-04 20:11:43+00:00,582.0,0.04,0.02,0.06,-0.030000001,-42.857143,138.0,2081,0.43945873046875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00582500,2025-04-04 20:11:43+00:00,582.5,0.04,0.05,0.06,-0.030000001,-42.857143,161.0,1464,0.4414118359375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00583000,2025-04-04 20:11:43+00:00,583.0,0.04,0.02,0.06,-0.010000002,-20.000004,145.0,801,0.445318046875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00584000,2025-04-04 20:13:52+00:00,584.0,0.03,0.03,0.05,-0.020000001,-40.000004,38.0,1141,0.43945873046875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00585000,2025-04-04 20:12:55+00:00,585.0,0.02,0.01,0.05,-0.030000001,-60.000004,612.0,9142,0.445318046875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00586000,2025-04-04 20:12:53+00:00,586.0,0.04,0.01,0.04,0.0,0.0,58.0,1367,0.437505625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00587000,2025-04-04 17:00:46+00:00,587.0,0.03,0.01,0.03,-0.01,-25.0,63.0,1216,0.42969320312500003,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00587500,2025-04-04 19:07:06+00:00,587.5,0.02,0.01,0.03,-0.04,-66.66667,12.0,2000,0.4335994140625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00588000,2025-04-04 20:12:55+00:00,588.0,0.02,0.01,0.05,-0.02,-50.0,168.0,3172,0.45898978515625005,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00589000,2025-04-04 19:20:16+00:00,589.0,0.02,0.02,0.04,-0.01,-33.333336,99.0,2067,0.45313046875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00590000,2025-04-04 20:10:31+00:00,590.0,0.02,0.01,0.04,-0.01,-33.333336,313.0,5236,0.45703667968750006,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00591000,2025-04-04 19:48:28+00:00,591.0,0.01,0.01,0.04,-0.03,-75.0,40.0,4983,0.46094289062500005,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00592000,2025-04-04 19:34:02+00:00,592.0,0.01,0.01,0.03,-0.03,-75.0,33.0,2529,0.45313046875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00592500,2025-04-03 15:02:20+00:00,592.5,0.04,0.01,0.04,0.0,0.0,24.0,1665,0.46680220703125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00593000,2025-04-04 14:16:07+00:00,593.0,0.02,0.01,0.03,-0.02,-50.0,16.0,1855,0.45703667968750006,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00594000,2025-04-04 20:11:43+00:00,594.0,0.02,0.01,0.04,-0.01,-33.333336,10.0,1105,0.47461462890625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00595000,2025-04-04 20:14:58+00:00,595.0,0.02,0.01,0.04,-0.01,-33.333336,379.0,4905,0.47852083984375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00596000,2025-04-04 20:11:43+00:00,596.0,0.02,0.01,0.04,0.0,0.0,18.0,1282,0.48242705078125003,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00597000,2025-04-04 18:58:55+00:00,597.0,0.01,0.01,0.03,-0.01,-50.0,59.0,850,0.4726615234375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00597500,2025-04-04 20:11:43+00:00,597.5,0.02,0.02,0.03,-0.01,-33.333336,93.0,803,0.476567734375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00598000,2025-04-04 17:34:42+00:00,598.0,0.02,0.0,0.03,0.0,0.0,30.0,1055,0.476567734375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00599000,2025-04-04 20:11:43+00:00,599.0,0.01,0.0,0.03,-0.02,-66.66667,36.0,951,0.4804739453125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00600000,2025-04-04 20:14:07+00:00,600.0,0.02,0.03,0.04,0.0,0.0,1073.0,14529,0.500005,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00601000,2025-04-04 20:13:46+00:00,601.0,0.01,0.0,0.03,-0.01,-50.0,79.0,3109,0.49023947265625006,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00602000,2025-04-04 20:13:05+00:00,602.0,0.01,0.0,0.04,-0.01,-50.0,527.0,2221,0.507817421875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00602500,2025-04-04 20:11:43+00:00,602.5,0.01,0.01,0.04,-0.01,-50.0,100.0,422,0.5117236328125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00603000,2025-04-04 20:11:43+00:00,603.0,0.01,0.0,0.02,-0.01,-50.0,207.0,982,0.4804739453125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00604000,2025-04-04 20:12:33+00:00,604.0,0.01,0.0,0.02,0.0,0.0,89.0,522,0.48438015625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00605000,2025-04-04 20:12:34+00:00,605.0,0.01,0.0,0.02,-0.01,-50.0,83.0,2490,0.48828636718750007,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00606000,2025-04-04 19:06:49+00:00,606.0,0.02,0.0,0.02,0.01,100.0,52.0,673,0.49219257812500006,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00607000,2025-04-04 18:33:53+00:00,607.0,0.01,0.01,0.03,-0.01,-50.0,34.0,1232,0.51562984375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00608000,2025-04-04 20:02:40+00:00,608.0,0.03,0.0,0.04,0.01,50.0,202.0,1311,0.500005,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00609000,2025-04-04 20:11:59+00:00,609.0,0.01,0.0,0.04,-0.01,-50.0,29.0,198,0.5039112109375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00610000,2025-04-04 20:11:59+00:00,610.0,0.01,0.0,0.03,0.0,0.0,141.0,2080,0.5273484765625001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00611000,2025-04-04 17:41:44+00:00,611.0,0.02,0.01,0.03,0.0,0.0,7.0,1283,0.5117236328125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00612000,2025-04-04 17:35:53+00:00,612.0,0.01,0.01,0.04,-0.01,-50.0,22.0,724,0.5273484765625001,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00613000,2025-04-03 17:03:03+00:00,613.0,0.02,0.0,0.04,0.0,0.0,159.0,384,0.5195360546875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00614000,2025-04-04 20:13:59+00:00,614.0,0.01,0.01,0.04,-0.02,-66.66667,101.0,307,0.5351608984375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
